price|quantity|type|level
4784000|21.629|1|5
4785000|3.0034|1|5
4786000|4.7841|1|5
4787000|20.9954|1|5
4788000|62.0836|1|5
4789000|0.3342|1|5
4790000|0.8705|1|5
4779000|0.2|0|5
4778000|0.2|0|5
4776000|4.8274|0|5
4775000|1.7731|0|5
4774000|7.9226|0|5
4773000|21.0751|0|5
4772000|10.2425|0|5
4771000|6.8078|0|5
4770000|0.0035|0|5
4769000|0.4387|0|5
4780000|3.605|1|5
4782000|4.1832|1|5
4783000|0.1042|1|5
4784000|21.629|1|5
4785000|3.0034|1|5
4786000|4.7841|1|5
4787000|20.9954|1|5
4788000|62.0836|1|5
4789000|0.3342|1|5
4790000|0.8705|1|5
4773000|6.2716|0|5
4772000|10.2215|0|5
4771000|20.881|0|5
4770000|4.9271|0|5
4769000|6.8087|0|5
4768000|5.3895|0|5
4767000|0.02|0|5
4766000|0.4735|0|5
4765000|5.7038|0|5
4764000|0.9909|0|5
4778000|3.8392|1|5
4780000|15.005|1|5
4781000|3.0|1|5
4782000|7.1832|1|5
4783000|4.4356|1|5
4784000|10.6055|1|5
4785000|9.8007|1|5
4786000|1.4503|1|5
4787000|11.4297|1|5
4788000|55.2932|1|5
4775000|0.2|0|5
4774000|1.1962|0|5
4773000|5.0751|0|5
4772000|7.9647|0|5
4771000|4.3333|0|5
4770000|19.0035|0|5
4769000|4.4607|0|5
4768000|4.0278|0|5
4766000|0.4735|0|5
4765000|16.4438|0|5
4778000|3.9348|1|5
4780000|15.005|1|5
4781000|3.0|1|5
4782000|3.3007|1|5
4783000|4.4356|1|5
4784000|7.629|1|5
4785000|45.5953|1|5
4786000|1.4503|1|5
4787000|10.4297|1|5
4788000|5.371|1|5
4775000|3.4894|0|5
4774000|6.59|0|5
4773000|21.4085|0|5
4772000|8.1318|0|5
4771000|4.0|0|5
4770000|9.8238|0|5
4769000|6.3876|0|5
4768000|0.4378|0|5
4766000|0.4735|0|5
4765000|5.7038|0|5
4778000|3.6|1|5
4780000|0.005|1|5
4781000|15.0|1|5
4782000|6.8907|1|5
4783000|3.4356|1|5
4784000|4.039|1|5
4785000|13.3907|1|5
4786000|2.6463|1|5
4787000|65.7219|1|5
4788000|0.001|1|5
4775000|7.0793|0|5
4774000|5.0894|0|5
4773000|6.0751|0|5
4772000|23.4651|0|5
4771000|4.0|0|5
4770000|9.8238|0|5
4769000|6.3876|0|5
4768000|0.4378|0|5
4766000|0.4735|0|5
4765000|5.7038|0|5
4778000|2.4816|1|5
4780000|3.595|1|5
4781000|15.0|1|5
4782000|3.9281|1|5
4783000|7.0256|1|5
4784000|4.039|1|5
4785000|15.1707|1|5
4786000|2.6462|1|5
4787000|65.7219|1|5
4788000|0.001|1|5
4776000|0.2|0|5
4775000|7.0793|0|5
4774000|3.0|0|5
4773000|6.0751|0|5
4772000|23.1318|0|5
4771000|4.3331|0|5
4770000|9.8238|0|5
4769000|6.3876|0|5
4768000|0.4378|0|5
4766000|0.4735|0|5
4778000|1.176|1|5
4780000|3.595|1|5
4781000|15.0|1|5
4782000|3.9281|1|5
4783000|6.592|1|5
4784000|4.039|1|5
4785000|15.1707|1|5
4786000|2.6462|1|5
4787000|65.7219|1|5
4788000|0.001|1|5
4776000|0.2|0|5
4775000|7.0793|0|5
4774000|3.0|0|5
4773000|6.0751|0|5
4772000|23.3625|0|5
4771000|4.0|0|5
4770000|9.8238|0|5
4769000|6.3876|0|5
4768000|0.4378|0|5
4766000|0.4735|0|5
4780000|3.595|1|5
4781000|15.0|1|5
4782000|3.9281|1|5
4783000|6.592|1|5
4784000|4.039|1|5
4785000|15.1707|1|5
4786000|39.7646|1|5
4787000|10.4297|1|5
4788000|0.001|1|5
4789000|0.3342|1|5
4777000|0.2|0|5
4776000|1.3956|0|5
4775000|12.8399|0|5
4774000|3.0|0|5
4773000|6.4082|0|5
4772000|23.4531|0|5
4771000|4.0|0|5
4770000|6.8238|0|5
4769000|6.3876|0|5
4768000|0.4378|0|5
4780000|3.605|1|5
4782000|15.9281|1|5
4783000|6.592|1|5
4784000|4.039|1|5
4785000|4.4307|1|5
4786000|1.4503|1|5
4787000|15.7876|1|5
4788000|60.6632|1|5
4789000|5.7042|1|5
4790000|0.4066|1|5
4777000|3.79|0|5
4776000|1.3956|0|5
4775000|12.8399|0|5
4774000|3.0|0|5
4773000|11.7782|0|5
4772000|19.8631|0|5
4771000|4.0|0|5
4770000|1.4538|0|5
4769000|11.7576|0|5
4768000|0.4378|0|5
4780000|3.605|1|5
4782000|19.5181|1|5
4783000|3.002|1|5
4784000|7.629|1|5
4785000|4.4307|1|5
4786000|6.8203|1|5
4787000|12.1976|1|5
4788000|60.6632|1|5
4789000|0.3342|1|5
4790000|0.4066|1|5
4777000|4.9853|0|5
4776000|1.965|0|5
4775000|26.0749|0|5
4774000|4.3328|0|5
4773000|11.4451|0|5
4772000|10.2331|0|5
4771000|4.0|0|5
4770000|1.4538|0|5
4769000|5.3876|0|5
4768000|0.4378|0|5
4780000|3.6153|1|5
4782000|0.9281|1|5
4783000|18.592|1|5
4784000|3.039|1|5
4785000|4.4307|1|5
4786000|8.2522|1|5
4787000|11.002|1|5
4788000|68.2286|1|5
4789000|0.3342|1|5
4790000|0.4066|1|5
4777000|4.9341|0|5
4776000|1.965|0|5
4775000|11.0749|0|5
4774000|19.3334|0|5
4773000|11.4451|0|5
4772000|10.2331|0|5
4771000|4.0|0|5
4770000|1.4538|0|5
4769000|5.3876|0|5
4768000|0.4378|0|5
4780000|3.6153|1|5
4782000|4.5181|1|5
4783000|15.002|1|5
4784000|6.629|1|5
4785000|4.4307|1|5
4786000|4.6622|1|5
4787000|11.002|1|5
4788000|67.0332|1|5
4789000|0.3342|1|5
4790000|0.4066|1|5
4777000|0.1485|0|5
4776000|1.3957|0|5
4775000|12.5755|0|5
4774000|4.0|0|5
4773000|24.728|0|5
4772000|10.2331|0|5
4771000|4.0|0|5
4770000|1.4538|0|5
4769000|5.3876|0|5
4768000|0.4378|0|5
4780000|3.6153|1|5
4782000|0.9281|1|5
4783000|18.592|1|5
4784000|6.629|1|5
4785000|4.4307|1|5
4786000|4.6622|1|5
4787000|12.1977|1|5
4788000|67.0332|1|5
4789000|0.3342|1|5
4790000|0.4066|1|5
4777000|0.1485|0|5
4776000|1.3957|0|5
4775000|7.1605|0|5
4774000|7.59|0|5
4773000|19.0251|0|5
4772000|5.1964|0|5
4771000|4.0|0|5
4770000|6.8238|0|5
4769000|10.7576|0|5
4768000|0.4378|0|5
4780000|3.6153|1|5
4782000|0.9281|1|5
4783000|15.002|1|5
4784000|6.629|1|5
4785000|4.4307|1|5
4786000|4.6622|1|5
4787000|67.4899|1|5
4788000|6.371|1|5
4789000|0.3342|1|5
4790000|0.4066|1|5
4777000|0.1485|0|5
4776000|3.79|0|5
4775000|7.1605|0|5
4774000|7.59|0|5
4773000|24.7284|0|5
4772000|4.8631|0|5
4771000|4.0|0|5
4770000|1.4538|0|5
4769000|10.7576|0|5
4768000|0.4378|0|5
4779000|0.01|1|5
4780000|0.0153|1|5
